2021-07-05 18:39:25.157 [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanDefinitionStoreException: Failed to parse configuration class [com.zhangds.mybatisplus.MybatisPlusApplication]; nested exception is org.springframework.context.annotation.ConflictingBeanDefinitionException: Annotation-specified bean name 'cachedUidGeneratorConfig' for bean class [com.baidu.fsg.uid.config.CachedUidGeneratorConfig] conflicts with existing, non-compatible bean definition of same name and class [com.zhangds.mybatisplus.config.CachedUidGeneratorConfig]
2021-07-05 18:39:25.274 [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanDefinitionStoreException: Failed to parse configuration class [com.zhangds.mybatisplus.MybatisPlusApplication]; nested exception is org.springframework.context.annotation.ConflictingBeanDefinitionException: Annotation-specified bean name 'cachedUidGeneratorConfig' for bean class [com.baidu.fsg.uid.config.CachedUidGeneratorConfig] conflicts with existing, non-compatible bean definition of same name and class [com.zhangds.mybatisplus.config.CachedUidGeneratorConfig]
2021-07-05 18:40:22.460 [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanDefinitionStoreException: Failed to parse configuration class [com.zhangds.mybatisplus.MybatisPlusApplication]; nested exception is org.springframework.context.annotation.ConflictingBeanDefinitionException: Annotation-specified bean name 'cachedUidGeneratorConfig' for bean class [com.baidu.fsg.uid.config.CachedUidGeneratorConfig] conflicts with existing, non-compatible bean definition of same name and class [com.zhangds.mybatisplus.config.CachedUidGeneratorConfig]
2021-07-05 18:40:22.588 [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanDefinitionStoreException: Failed to parse configuration class [com.zhangds.mybatisplus.MybatisPlusApplication]; nested exception is org.springframework.context.annotation.ConflictingBeanDefinitionException: Annotation-specified bean name 'cachedUidGeneratorConfig' for bean class [com.baidu.fsg.uid.config.CachedUidGeneratorConfig] conflicts with existing, non-compatible bean definition of same name and class [com.zhangds.mybatisplus.config.CachedUidGeneratorConfig]
2021-07-05 18:43:12.194 [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'logServiceImpl': Unsatisfied dependency expressed through field 'baseMapper'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'logMapper' defined in file [D:\IdeaProjects\springboot-javabase\springboot-mybatisplus\target\classes\com\zhangds\mybatisplus\mapper\LogMapper.class]: Invocation of init method failed; nested exception is java.lang.IllegalArgumentException: Property 'sqlSessionFactory' or 'sqlSessionTemplate' are required
2021-07-05 18:43:12.527 [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'logServiceImpl': Unsatisfied dependency expressed through field 'baseMapper'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'logMapper' defined in file [D:\IdeaProjects\springboot-javabase\springboot-mybatisplus\target\classes\com\zhangds\mybatisplus\mapper\LogMapper.class]: Invocation of init method failed; nested exception is java.lang.IllegalArgumentException: Property 'sqlSessionFactory' or 'sqlSessionTemplate' are required
2021-07-05 18:45:53.575 [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'logServiceImpl': Unsatisfied dependency expressed through field 'baseMapper'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'logMapper' defined in file [D:\IdeaProjects\springboot-javabase\springboot-mybatisplus\target\classes\com\zhangds\mybatisplus\mapper\LogMapper.class]: Invocation of init method failed; nested exception is java.lang.IllegalArgumentException: Property 'sqlSessionFactory' or 'sqlSessionTemplate' are required
2021-07-05 18:45:53.893 [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'logServiceImpl': Unsatisfied dependency expressed through field 'baseMapper'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'logMapper' defined in file [D:\IdeaProjects\springboot-javabase\springboot-mybatisplus\target\classes\com\zhangds\mybatisplus\mapper\LogMapper.class]: Invocation of init method failed; nested exception is java.lang.IllegalArgumentException: Property 'sqlSessionFactory' or 'sqlSessionTemplate' are required
2021-07-05 18:51:27.998 [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'logServiceImpl': Unsatisfied dependency expressed through field 'baseMapper'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'logMapper' defined in file [D:\IdeaProjects\springboot-javabase\springboot-mybatisplus\target\classes\com\zhangds\mybatisplus\mapper\LogMapper.class]: Invocation of init method failed; nested exception is java.lang.IllegalArgumentException: Property 'sqlSessionFactory' or 'sqlSessionTemplate' are required
2021-07-05 18:51:28.367 [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'logServiceImpl': Unsatisfied dependency expressed through field 'baseMapper'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'logMapper' defined in file [D:\IdeaProjects\springboot-javabase\springboot-mybatisplus\target\classes\com\zhangds\mybatisplus\mapper\LogMapper.class]: Invocation of init method failed; nested exception is java.lang.IllegalArgumentException: Property 'sqlSessionFactory' or 'sqlSessionTemplate' are required
2021-07-05 18:53:51.099 [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'logServiceImpl': Unsatisfied dependency expressed through field 'baseMapper'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'logMapper' defined in file [D:\IdeaProjects\springboot-javabase\springboot-mybatisplus\target\classes\com\zhangds\mybatisplus\mapper\LogMapper.class]: Invocation of init method failed; nested exception is java.lang.IllegalArgumentException: Property 'sqlSessionFactory' or 'sqlSessionTemplate' are required
